page,scraping_date,hour,temp,wind
dobrapogoda24.pl,2021-01-23,2:00,3,NULL
dobrapogoda24.pl,2021-01-23,5:00,2,NULL
dobrapogoda24.pl,2021-01-23,8:00,1,NULL
dobrapogoda24.pl,2021-01-23,11:00,3,NULL
dobrapogoda24.pl,2021-01-23,14:00,3,NULL
pogoda.interia.pl,2021-01-23,22:00,3,NULL
pogoda.interia.pl,2021-01-23,23:00,2,NULL
pogoda.interia.pl,2021-01-23,0:00,2,NULL
pogoda.interia.pl,2021-01-23,1:00,1,NULL
pogoda.interia.pl,2021-01-23,2:00,1,NULL
pogoda.wp.pl,2021-01-23,21:00,3,NULL
pogoda.wp.pl,2021-01-23,22:00,3,NULL
pogoda.wp.pl,2021-01-23,23:00,2,NULL
pogoda.wp.pl,2021-01-23,00:00,2,NULL
pogoda.wp.pl,2021-01-23,01:00,1,NULL
pogoda.trojmiasto.pl,2021-01-23,22:00,3,25
pogoda.trojmiasto.pl,2021-01-23,0:00,2,21
pogoda.trojmiasto.pl,2021-01-23,2:00,2,14
pogoda.trojmiasto.pl,2021-01-23,4:00,2,7
pogoda.trojmiasto.pl,2021-01-23,6:00,2,3
dobrapogoda24.pl,2021-01-24,2:00,3,NULL
dobrapogoda24.pl,2021-01-24,5:00,2,NULL
dobrapogoda24.pl,2021-01-24,8:00,2,NULL
dobrapogoda24.pl,2021-01-24,11:00,2,NULL
dobrapogoda24.pl,2021-01-24,14:00,2,NULL
pogoda.interia.pl,2021-01-24,11:00,0,NULL
pogoda.interia.pl,2021-01-24,12:00,1,NULL
pogoda.interia.pl,2021-01-24,13:00,1,NULL
pogoda.interia.pl,2021-01-24,14:00,1,NULL
pogoda.interia.pl,2021-01-24,15:00,2,NULL
pogoda.wp.pl,2021-01-24,11:00,0,NULL
pogoda.wp.pl,2021-01-24,12:00,0,NULL
pogoda.wp.pl,2021-01-24,13:00,1,NULL
pogoda.wp.pl,2021-01-24,14:00,0,NULL
pogoda.wp.pl,2021-01-24,15:00,0,NULL
pogoda.trojmiasto.pl,2021-01-24,11:00,3,10
pogoda.trojmiasto.pl,2021-01-24,13:00,3,10
pogoda.trojmiasto.pl,2021-01-24,15:00,3,10
pogoda.trojmiasto.pl,2021-01-24,17:00,2,10
pogoda.trojmiasto.pl,2021-01-24,19:00,1,10
